#now;dir;sched;esti;lu;typ;al;fnr;alname;iata;ac;reg;status
0 05:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 06:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 07:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 08:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 09:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 10:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 11:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 12:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 13:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 14:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 15:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 16:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 17:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 18:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 19:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 20:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 21:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 22:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 23:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
0 23:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 05:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 06:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 07:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 08:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 09:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 10:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 11:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 12:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 13:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 14:00;A;0 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 15:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 16:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 17:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 18:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 19:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 20:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 21:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 22:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 23:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
1 23:00;A;1 14:50;;;P;LH;3617;Lufthansa;QKL;TRN;;Zug
