#now;dir;sched;esti;lu;typ;al;fnr;alname;iata;ac;reg;status;icao;apname;country
0 05:00;D;0 06:20 /*=13*/;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP /*=7,0*/;Gate offen;LPPT;Lissabon;Portugal
0 06:00;D;0 06:20;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP;geschlossen;LPPT;Lissabon;Portugal
0 07:00;D;0 06:20;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP;gestartet;LPPT;Lissabon;Portugal
0 07:00;D;1 06:20 /*=27*/;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 08:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 09:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 10:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 11:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 12:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 13:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 14:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 15:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 16:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 17:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 18:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 19:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 20:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 21:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 22:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 23:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP /*=7*/;;LPPT;Lissabon;Portugal
1 05:00;D;0 06:20;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP;Gate offen;LPPT;Lissabon;Portugal
1 06:00;D;0 06:20;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP;geschlossen;LPPT;Lissabon;Portugal
1 07:00;D;0 06:20;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP;gestartet;LPPT;Lissabon;Portugal
1 07:00;D;1 06:20 /*=51*/;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 08:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 09:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 10:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 11:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 12:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 13:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 14:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 15:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 16:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 17:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 18:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 19:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 20:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 21:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 22:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 23:00;D;1 06:20;;;P;TP;571;TAP Portugal;LIS;A320;CSTNP /*=7*/;;LPPT;Lissabon;Portugal
