#now;dir;sched;esti;lu;typ;al;fnr;alname;iata;ac;reg;status;icao;apname;country
0 05:00;D;0 12:15 /*=16*/;;;P;UA;902;United Airlines;SFO;B744;N116UA /*=4*/;;KSFO;San Francisco;USA
0 06:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
0 07:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
0 08:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
0 09:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
0 10:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
0 11:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;Gate offen;KSFO;San Francisco;USA
0 12:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;geschlossen;KSFO;San Francisco;USA
0 13:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;gestartet;KSFO;San Francisco;USA
0 13:00;D;1 12:15 /*=36*/;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 14:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 15:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 16:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 17:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 18:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 19:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 20:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 21:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
0 22:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA /*=4*/;;KSFO;San Francisco;USA
0 23:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
1 05:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
1 06:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA /*=12*/;;KSFO;San Francisco;USA
1 07:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA;;KSFO;San Francisco;USA
1 08:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA;;KSFO;San Francisco;USA
1 09:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA;;KSFO;San Francisco;USA
1 10:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA;;KSFO;San Francisco;USA
1 11:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA;Gate offen;KSFO;San Francisco;USA
1 12:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA;geschlossen;KSFO;San Francisco;USA
1 13:00;D;0 12:15;;;P;UA;902;United Airlines;SFO;B772;N794UA;gestartet;KSFO;San Francisco;USA
1 13:00;D;1 12:15 /*=60*/;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 14:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 15:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 16:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 17:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 18:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 19:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 20:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 21:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;;;KSFO;San Francisco;USA
1 22:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA /*=4*/;;KSFO;San Francisco;USA
1 23:00;D;1 12:15;;;P;UA;902;United Airlines;SFO;B744;N116UA;;KSFO;San Francisco;USA
